iter	Passed	Remaining
0	140	140292
1	141	70466
2	141	47189
3	142	35575
4	143	28610
5	144	23950
6	145	20632
7	146	18126
8	146	16175
9	147	14609
10	148	13337
11	149	12283
12	149	11384
13	150	10622
14	151	9954
15	152	9363
16	153	8849
17	153	8400
18	154	7997
19	155	7619
20	156	7281
21	156	6978
22	157	6700
23	158	6448
24	159	6212
25	160	5994
26	160	5789
27	161	5600
28	161	5420
29	162	5256
30	163	5100
31	163	4957
32	164	4826
33	165	4698
34	165	4576
35	166	4461
36	167	4358
37	168	4257
38	168	4159
39	169	4066
40	170	3978
41	170	3893
42	171	3816
43	172	3740
44	172	3667
45	173	3598
46	174	3533
47	174	3468
48	175	3409
49	176	3352
50	177	3295
51	177	3240
52	178	3187
53	179	3138
54	179	3089
55	180	3041
56	181	2994
57	181	2950
58	182	2910
59	183	2871
60	183	2831
61	184	2793
62	185	2756
63	186	2720
64	186	2687
65	187	2654
66	188	2621
67	188	2590
68	189	2559
69	190	2531
70	191	2504
71	193	2488
72	194	2463
73	194	2439
74	195	2413
75	196	2388
76	197	2367
77	198	2345
78	199	2322
79	199	2299
80	200	2277
81	201	2257
82	202	2233
83	202	2213
84	203	2192
85	204	2172
86	205	2152
87	205	2132
88	206	2113
89	207	2094
90	207	2075
91	208	2057
92	209	2040
93	209	2023
94	210	2006
95	211	1992
96	212	1978
97	213	1964
98	214	1949
99	214	1933
100	215	1918
101	216	1903
102	216	1889
103	217	1874
104	218	1860
105	218	1845
106	219	1831
107	220	1818
108	220	1804
109	221	1792
110	222	1779
111	222	1767
112	223	1755
113	224	1744
114	225	1732
115	225	1721
116	226	1709
117	227	1697
118	227	1686
119	228	1674
120	228	1663
121	229	1651
122	230	1641
123	230	1631
124	231	1621
125	232	1611
126	232	1600
127	233	1591
128	234	1581
129	234	1571
130	235	1561
131	236	1552
132	236	1542
133	237	1533
134	238	1525
135	238	1517
136	239	1509
137	240	1504
138	241	1495
139	242	1487
140	242	1479
141	243	1469
142	243	1461
143	244	1453
144	245	1446
145	246	1438
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1401
151	249	1394
152	250	1387
153	251	1380
154	252	1373
155	252	1368
156	253	1361
157	254	1354
158	255	1350
159	255	1343
160	256	1336
161	257	1329
162	257	1323
163	258	1317
164	259	1311
165	259	1305
166	260	1299
167	261	1294
168	262	1288
169	262	1282
170	263	1277
171	264	1271
172	264	1265
173	265	1259
174	266	1254
175	266	1248
176	267	1243
177	268	1237
178	268	1232
179	269	1227
180	270	1223
181	270	1217
182	271	1212
183	272	1207
184	272	1202
185	273	1196
186	274	1191
187	274	1187
188	275	1182
189	276	1178
190	277	1173
191	277	1169
192	278	1164
193	279	1159
194	279	1155
195	280	1150
196	281	1145
197	281	1141
198	282	1137
199	283	1133
200	284	1130
201	285	1126
202	285	1122
203	286	1117
204	287	1113
205	287	1109
206	288	1104
207	289	1101
208	289	1097
209	290	1093
210	291	1089
211	292	1085
212	292	1081
213	293	1077
214	294	1073
215	294	1069
216	295	1066
217	296	1062
218	297	1059
219	297	1056
220	298	1053
221	299	1049
222	300	1046
223	300	1042
224	301	1038
225	302	1035
226	303	1032
227	303	1028
228	304	1025
229	305	1022
230	306	1019
231	306	1015
232	307	1012
233	308	1009
234	309	1005
235	309	1002
236	310	999
237	310	995
238	312	993
239	313	991
240	314	989
241	314	985
242	315	982
243	316	979
244	316	976
245	317	973
246	318	970
247	318	967
248	319	964
249	320	961
250	321	958
251	322	955
252	322	952
253	323	950
254	324	947
255	324	944
256	325	941
257	326	939
258	327	936
259	328	933
260	328	930
261	329	927
262	329	924
263	330	921
264	331	918
265	331	915
266	332	912
267	333	910
268	334	907
269	334	905
270	335	902
271	336	900
272	336	897
273	337	894
274	338	892
275	339	889
276	339	886
277	341	886
278	342	884
279	343	882
280	343	879
281	344	877
282	345	874
283	345	871
284	346	869
285	347	866
286	347	864
287	348	861
288	349	859
289	350	856
290	350	854
291	351	852
292	352	849
293	352	847
294	353	844
295	354	842
296	354	840
297	355	838
298	356	836
299	357	833
300	357	831
301	358	828
302	359	826
303	359	823
304	360	821
305	361	819
306	361	816
307	362	814
308	363	812
309	364	810
310	364	808
311	365	805
312	366	803
313	366	801
314	367	798
315	368	796
316	369	795
317	370	795
318	374	799
319	375	798
320	377	798
321	388	818
322	390	817
323	391	817
324	392	815
325	393	814
326	399	821
327	400	820
328	401	818
329	402	816
330	403	814
331	403	812
332	404	810
333	405	809
334	406	807
335	408	807
336	409	806
337	412	807
338	413	806
339	414	805
340	416	805
341	417	803
342	418	802
343	420	801
344	421	801
345	423	799
346	425	801
347	426	799
348	427	798
349	429	796
350	430	796
351	432	796
352	434	795
353	435	794
354	436	792
355	438	792
356	439	791
357	441	790
358	442	790
359	443	788
360	444	787
361	446	786
362	447	785
363	449	784
364	450	783
365	451	782
366	453	782
367	455	781
368	456	780
369	457	779
370	459	778
371	460	777
372	461	776
373	462	774
374	464	773
375	465	772
376	466	771
377	468	770
378	469	769
379	470	767
380	471	766
381	473	765
382	474	764
383	475	763
384	477	762
385	478	760
386	480	760
387	481	759
388	483	759
389	484	758
390	491	764
391	492	763
392	501	774
393	505	777
394	506	775
395	507	774
396	508	773
397	510	772
398	512	771
399	513	770
400	514	769
401	517	769
402	559	828
403	560	827
404	561	825
405	564	825
406	565	823
407	566	822
408	567	820
409	568	818
410	571	818
411	573	817
412	574	816
413	575	814
414	576	812
415	579	813
416	580	811
417	581	809
418	582	808
419	583	806
420	587	808
421	589	807
422	590	805
423	591	804
424	593	803
425	595	802
426	597	801
427	598	799
428	605	805
429	609	807
430	610	806
431	611	804
432	612	802
433	617	805
434	618	803
435	619	801
436	621	800
437	624	801
438	626	800
439	627	798
440	631	800
441	633	799
442	640	804
443	641	803
444	642	801
445	643	799
446	648	802
447	649	800
448	650	798
449	652	798
450	654	797
451	656	795
452	657	793
453	658	791
454	667	799
455	670	800
456	672	798
457	673	796
458	674	794
459	678	796
460	679	794
461	680	792
462	684	794
463	686	792
464	687	790
465	688	789
466	691	789
467	692	787
468	694	785
469	695	784
470	696	782
471	697	780
472	699	778
473	700	777
474	701	775
475	705	776
476	706	774
477	707	772
478	709	771
479	713	772
480	714	771
481	715	769
482	721	771
483	722	770
484	723	768
485	724	766
486	728	767
