iter	Passed	Remaining
0	0	94
1	1	88
2	2	84
3	3	76
4	3	75
5	4	75
6	5	74
7	6	73
8	7	72
9	7	71
10	8	70
11	10	75
12	11	74
13	12	73
14	13	73
15	13	72
16	14	71
17	15	69
18	16	68
19	16	67
20	17	65
21	18	64
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	28	52
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
